name,category,address,district,hours,lat,lng,rating,price,avg_bill,middle_avg_bill,middle_coffee_cup,chain,seats
Great Room Bar,"бар,паб","Москва, Левобережная улица, 12",Северный административный округ,"ежедневно, круглосуточно",55.877832,37.469171,4.5,средние,Цена бокала пива:250–350 ₽,,,0,102.0
Шашлык Шефф,кафе,"Москва, улица Маршала Федоренко, 10с1",Северный административный округ,"ежедневно, 10:00–21:00",55.88177,37.492362,4.9,,,,,0,
Заправка,кафе,"Москва, МКАД, 80-й километр, 1",Северный административный округ,вт-сб 09:00–18:00,55.899938,37.517958,4.3,средние,Средний счёт:330 ₽,330.0,,0,
Буханка,булочная,"Москва, Базовская улица, 15, корп. 1",Северный административный округ,"ежедневно, 08:00–22:00",55.877007,37.50498,4.8,,,,,1,180.0
У Сильвы,"бар,паб","Москва, Ангарская улица, 42с1",Северный административный округ,"ежедневно, 13:00–00:00",55.885528,37.528371,4.2,выше среднего,Средний счёт:1500 ₽,1500.0,,0,
Дом обеда,столовая,"Москва, улица Бусиновская Горка, 2",Северный административный округ,пн-пт 08:30–18:30; сб 10:00–20:00,55.88589,37.493264,4.1,средние,Средний счёт:300–500 ₽,400.0,,0,180.0
База Стритфуд,кафе,"Москва, Базовская улица, 15, корп. 8",Северный административный округ,"ежедневно, 10:00–23:00",55.877859,37.507754,4.2,средние,Средний счёт:140–350 ₽,245.0,,0,
Чайхана Беш-Бармак,ресторан,"Москва, Ленинградское шоссе, 71Б, стр. 2",Северный административный округ,"ежедневно, круглосуточно",55.876908,37.449876,4.4,средние,Средний счёт:350–500 ₽,425.0,,0,96.0
Час-Пик,столовая,"Москва, Коровинское шоссе, 30А",Северный административный округ,"ежедневно, 09:00–21:00",55.884651,37.517482,4.3,средние,Средний счёт:200–300 ₽,250.0,,0,25.0
Пекарня,булочная,"Москва, Ижорский проезд, 5",Северный административный округ,"ежедневно, круглосуточно",55.887969,37.515688,4.4,,,,,1,
Чебуреки Манты,кафе,"Москва, Правобережная улица, 1Б",Северный административный округ,"ежедневно, 10:00–22:00",55.880287,37.448646,4.3,,,,,1,148.0
7/12,кафе,"Москва, Прибрежный проезд, 7",Северный административный округ,"ежедневно, 10:00–22:00",55.876805,37.464934,4.5,,,,,0,
Крымские чебуреки,кафе,"Москва, Коровинское шоссе, 35, стр. 17",Северный административный округ,пн-пт 09:00–21:00,55.883414,37.514572,4.2,,,,,0,
Буханка,булочная,"Москва, Лобненская улица, 13к2",Северный административный округ,"ежедневно, 08:00–22:00",55.888421,37.527106,4.7,,,,,1,
Drive Café,кафе,"Москва, улица Дыбенко, 9Ас1",Северный административный округ,"ежедневно, круглосуточно",55.879992,37.481571,4.0,,,,,1,
В парке вкуснее,кофейня,"Москва, парк Левобережный",Северный административный округ,"ежедневно, 10:00–21:00",55.878453,37.460028,4.3,,,,,1,
Пикочино,пиццерия,"Москва, Дмитровское шоссе, 107к2",Северный административный округ,"пн-чт 11:00–22:00; пт,сб 11:00–23:00; вс 11:00–22:00",55.87939,37.541228,4.5,средние,Средний счёт:300–1500 ₽,900.0,,0,
Шаурму Х@чу,быстрое питание,"Москва, улица Дыбенко, 7, стр. 1",Северный административный округ,"пн-пт 08:00–22:00; сб,вс 10:00–22:00",55.879324,37.48028,4.1,,Средний счёт:от 240 ₽,240.0,,0,4.0
Mafe,кафе,"Москва, МКАД, 78-й километр, 14к1",Северный административный округ,"ежедневно, 10:00–19:00",55.893061,37.501319,3.8,средние,Средний счёт:400–600 ₽,500.0,,0,
Кушай Город,столовая,"Москва, Дмитровское шоссе, 157, стр. 15",Северный административный округ,пн-пт 09:00–16:00,55.898414,37.539256,4.2,средние,Средний счёт:200–250 ₽,225.0,,1,
Кафедра,булочная,"Москва, Базовская улица, 15, корп. 6",Северный административный округ,"ежедневно, 08:00–21:00",55.879723,37.510227,4.4,,,,,0,
Алталия,быстрое питание,"Москва, улица Дыбенко, 7/1",Северный административный округ,"ежедневно, 10:00–22:00",55.878691,37.478993,4.1,,,,,0,
Додо Пицца,пиццерия,"Москва, Коровинское шоссе, 23, корп. 1",Северный административный округ,"ежедневно, 09:00–23:00",55.877388,37.523334,4.3,,Средний счёт:328 ₽,328.0,,1,46.0
Изба,ресторан,"Москва, Лобненская улица, 4А",Северный административный округ,"ежедневно, 10:00–21:00",55.89003,37.537515,4.3,средние,Средний счёт:300 ₽,300.0,,0,40.0
Домино'с Пицца,пиццерия,"Москва, Клязьминская улица, 11, корп. 4",Северный административный округ,"ежедневно, 10:00–23:00",55.886963,37.523518,4.2,,Средний счёт:от 500 ₽,500.0,,1,247.0
Виладж пицца,пиццерия,"Москва, Базовская улица, 15, корп. 15",Северный административный округ,"ежедневно, 09:00–23:00",55.876278,37.505575,4.3,средние,Средний счёт:от 345 ₽,345.0,,0,
Пекарня № 1 Грузинская кухня,кафе,"Москва, Коровинское шоссе, 33А",Северный административный округ,"ежедневно, 10:00–22:00",55.882222,37.518057,3.9,,,,,0,21.0
Халяль закусочная,кафе,"Москва, Коровинское шоссе, 46, стр. 5",Северный административный округ,"ежедневно, 08:00–23:00",55.888023,37.515443,3.9,,,,,0,
Ижора,булочная,"Москва, Ижорский проезд, 5А",Северный административный округ,,55.888366,37.514856,4.4,,,,,0,
Шаурмагия,быстрое питание,"Москва, Базовская улица, 15А",Северный административный округ,"ежедневно, 09:00–23:00",55.880831,37.510574,4.0,средние,Средний счёт:60–400 ₽,230.0,,0,
Кафе,кафе,"Москва, Ижорская улица, 18, стр. 1",Северный административный округ,,55.895115,37.524902,3.7,,,,,0,
Крошка Картошка,быстрое питание,"Москва, улица Дыбенко, 7/1",Северный административный округ,"ежедневно, 10:00–22:00",55.878515,37.479308,4.1,,,,,1,
Варня кафе,быстрое питание,"Москва, Коровинское шоссе, 29, корп. 1",Северный административный округ,"ежедневно, 09:00–23:00",55.88001,37.520204,3.8,,,,,0,46.0
Суши & пицца,ресторан,"Москва, Дмитровское шоссе, 169, корп. 6",Северо-Восточный административный округ,"ежедневно, 10:00–23:00",55.928943,37.540548,4.0,,,,,0,
Кафетерий,кафе,"Москва, Ангарская улица, 24А",Северный административный округ,,55.876289,37.519315,3.8,,,,,1,8.0
9 Bar Coffee,кофейня,"Москва, Коровинское шоссе, 41, стр. 1",Северный административный округ,пн-пт 08:00–18:00,55.885837,37.513422,4.0,,,,,1,46.0
CofeFest,кофейня,"Москва, улица Маршала Федоренко, 6с1",Северный административный округ,пн-пт 09:00–19:00,55.879934,37.492522,3.6,,,,,1,
Кафе,кафе,"Москва, улица Маршала Федоренко, 7",Северный административный округ,"ежедневно, 11:00–00:00",55.880306,37.48976,2.8,,,,,0,35.0
БлинБери,ресторан,"Москва, улица Дыбенко, 7, стр. 1",Северный административный округ,"ежедневно, 10:00–22:00",55.878511,37.479158,3.9,,,,,1,4.0
2U-Ту-Ю,пиццерия,"Москва, Ижорская улица, 8А",Северный административный округ,"ежедневно, круглосуточно",55.88616,37.508784,2.7,,Средний счёт:900 ₽,900.0,,0,
Шаурма,быстрое питание,"Москва, улица Дыбенко, 44",Северный административный округ,"ежедневно, круглосуточно",55.878339,37.483154,3.9,,,,,0,40.0
Арамье,булочная,"Москва, Ангарская улица, 30/25",Северный административный округ,"ежедневно, 09:00–21:00",55.878014,37.522867,3.7,,,,,1,
Cofix,кофейня,"Москва, улица Дыбенко, 7/1",Северный административный округ,"ежедневно, 08:00–22:00",55.878531,37.479395,3.8,,,,,1,
Royal Coffee,кофейня,"Москва, Правобережная улица, 1Б",Северный административный округ,"ежедневно, 10:00–22:00",55.880622,37.448529,3.1,,,,,0,148.0
Шашлык,быстрое питание,"Москва, Коровинское шоссе, 46, стр. 5",Северный административный округ,"ежедневно, круглосуточно",55.887978,37.515823,3.9,,,,,1,
Чебуреки и манты,кафе,"Москва, Правобережная улица, 1Б",Северный административный округ,"ежедневно, 10:00–22:00",55.880288,37.448645,4.3,,,,,0,148.0
Рыба из тандыра,быстрое питание,"Москва, Коровинское шоссе, 46, стр. 5",Северный административный округ,,55.88801,37.51596,1.5,,,,,0,
Мир пиццы,кафе,"Москва, Дмитровское шоссе, 151, корп. 5",Северный административный округ,"ежедневно, 09:00–02:00",55.896323,37.540918,4.2,,,,,0,46.0
Coffeekaldi's,кофейня,"Москва, Угличская улица, 13, стр. 8",Северо-Восточный административный округ,"ежедневно, 09:00–22:00",55.900316,37.570558,4.1,средние,Средний счёт:500–800 ₽,650.0,,1,
Хинкали Gали!,кафе,"Москва, Абрамцевская улица, 30, стр. 1",Северо-Восточный административный округ,"ежедневно, 12:00–23:00",55.906281,37.576517,4.7,,,,,0,240.0
Чебуречная история,кофейня,"Москва, ландшафтный заказник Лианозовский",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.899845,37.570488,4.9,,,,,1,
Кафе Лоза,ресторан,"Москва, Череповецкая улица, 4А",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.898085,37.565872,4.2,средние,Средний счёт:500–800 ₽,650.0,,0,85.0
Пить Есть!,"бар,паб","Москва, Алтуфьевское шоссе, 97Б",Северо-Восточный административный округ,"ежедневно, 12:00–03:00",55.902557,37.586001,4.5,средние,Средний счёт:500–1000 ₽,750.0,,0,25.0
Pizza Hut,пиццерия,"Москва, Череповецкая улица, 12",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.898081,37.571696,4.2,средние,Средний счёт:600–700 ₽,650.0,,1,12.0
Testo мания,кофейня,"Москва, Лианозовский парк культуры и отдыха",Северо-Восточный административный округ,"ежедневно, 09:00–21:00",55.900058,37.570544,4.1,,,,,0,
Альбатрос,кафе,"Москва, Череповецкая улица, 12А",Северо-Восточный административный округ,"ежедневно, 16:00–06:00",55.898061,37.57346,3.7,средние,Средний счёт:600–700 ₽,650.0,,0,60.0
Молинари,кофейня,"Москва, Алтуфьевское шоссе, 70, корп. 1",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.887887,37.588294,4.8,,,,,0,120.0
Штаб квартира,"бар,паб","Москва, Дубнинская улица, 32",Северный административный округ,"пн-чт 12:30–00:00; пт,сб 12:30–02:00; вс 12:30–00:00",55.883112,37.558867,5.0,средние,Цена бокала пива:120–350 ₽,,,0,16.0
Мимино,кафе,"Москва, Илимская улица, 3, корп. 1",Северо-Восточный административный округ,пн-сб 11:00–23:00; вс 12:00–23:00,55.890415,37.581229,4.3,выше среднего,Средний счёт:1000–1500 ₽,1250.0,,1,80.0
Алазанская долина,ресторан,"Москва, Шенкурский проезд, 14",Северо-Восточный административный округ,"ежедневно, 12:00–00:00",55.897679,37.591366,4.3,высокие,Средний счёт:1500–2000 ₽,1750.0,,0,50.0
Гуава бар,"бар,паб","Москва, Алтуфьевское шоссе, 70, корп. 1",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.888623,37.588011,4.4,,,,,0,120.0
CofeFest,кофейня,"Москва, Новгородская улица, 23А",Северо-Восточный административный округ,пн-пт 08:00–19:00,55.901799,37.577672,4.1,,,,,1,
Лакрица,кофейня,"Москва, Алтуфьевское шоссе, 85",Северо-Восточный административный округ,"ежедневно, 08:00–21:00",55.891196,37.585653,4.5,средние,Цена чашки капучино:150–190 ₽,,170.0,0,12.0
Веранда,ресторан,"Москва, парк Алтуфьево",Северо-Восточный административный округ,"пн-пт 11:00–22:00; сб,вс 11:00–23:00",55.906875,37.582493,4.2,,,,,1,
Хинкали-Gали!,кафе,"Москва, улица Пришвина, 8, корп. 2",Северо-Восточный административный округ,"ежедневно, 12:00–23:00",55.889243,37.594633,4.8,,,,,1,44.0
Хинкали-Gали!,кафе,"Москва, Дмитровское шоссе, 100",Северный административный округ,"ежедневно, 12:00–23:00",55.881626,37.545617,4.9,,,,,1,
Ресторан Купец,ресторан,"Москва, Лобненская улица, вл11",Северный административный округ,"пн-чт 12:00–23:00; пт,сб 12:00–00:00; вс 12:00–23:00",55.889759,37.53045,4.5,высокие,Средний счёт:2000–2500 ₽,2250.0,,0,
Оазис,кафе,"Москва, Дубнинская улица, 79",Северный административный округ,"ежедневно, 12:00–00:00",55.888705,37.555713,4.2,средние,Средний счёт:500–1000 ₽,750.0,,1,43.0
Ресторан Самарканд,ресторан,"Москва, МКАД, 82-й километр, вл18",Северо-Восточный административный округ,"ежедневно, 09:00–01:00",55.909009,37.558619,4.2,средние,Средний счёт:600 ₽,600.0,,0,
Ресторан Landau Cafe & Grill Bar,"бар,паб","Москва, бульвар Академика Ландау, 3",Северо-Восточный административный округ,"ежедневно, 11:00–23:00",55.92039,37.553977,4.3,,,,,0,
Му-Му,кафе,"Москва, улица Пришвина, 22",Северо-Восточный административный округ,"пн-пт 10:00–21:00; сб,вс 10:00–22:00",55.885986,37.602098,4.3,средние,Средний счёт:450 ₽,450.0,,1,90.0
Coffee Way,кофейня,"Москва, Алтуфьевское шоссе, 86, корп. 1",Северо-Восточный административный округ,"ежедневно, 09:00–22:00",55.897789,37.588189,4.3,,Цена чашки капучино:120–170 ₽,,145.0,1,120.0
Пиросмани,быстрое питание,"Москва, Дубнинская улица, 32",Северный административный округ,"ежедневно, 09:00–23:00",55.883422,37.558293,4.3,,,,,0,16.0
Аль-Бухари,кафе,"Москва, улица Пришвина, 3Б",Северо-Восточный административный округ,"ежедневно, 09:00–02:00",55.889872,37.591299,4.3,,,,,0,50.0
Meat Doner Kebab,булочная,"Москва, улица Лескова, 22",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.896987,37.608126,4.5,,Средний счёт:300 ₽,300.0,,0,0.0
Дежене,столовая,"Москва, Дубнинская улица, 81А",Северный административный округ,пн-пт 08:30–17:00,55.891779,37.552636,4.4,средние,Средний счёт:100–500 ₽,300.0,,1,
Халяль,кафе,"Москва, улица Плещеева, 4, корп. 1, стр. 1",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.883265,37.604737,4.5,,,,,1,25.0
Гриль Хаус,"бар,паб","Москва, Алтуфьевское шоссе, 70к1",Северо-Восточный административный округ,"ежедневно, 11:00–23:00",55.888065,37.589321,4.3,средние,Средний счёт:от 850 ₽,850.0,,1,
Zамания,пиццерия,"Москва, Дмитровское шоссе, 163А",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.908484,37.538404,4.9,,,,,1,
Сахарочек,кофейня,"Москва, Дмитровское шоссе, 107А, корп. 2",Северный административный округ,пн-пт 09:00–22:00; сб 10:00–22:00; вс 10:00–21:00,55.879256,37.538444,4.5,средние,Цена чашки капучино:100–200 ₽,,150.0,0,120.0
Кафе на Пришвина,кафе,"Москва, улица Пришвина, вл23А",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.884775,37.605419,4.3,,,,,0,
Шашлык,булочная,"Москва, Абрамцевская улица, 1",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.891932,37.573445,4.2,,,,,1,240.0
ЛавашОК,быстрое питание,"Москва, Дмитровское шоссе, 116Д",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.901597,37.547348,4.3,средние,Средний счёт:250–600 ₽,425.0,,1,120.0
Jamamai asian kitchen & bar,ресторан,"Москва, Дмитровское шоссе, 107, корп. 2",Северный административный округ,"ежедневно, 11:00–23:00",55.878926,37.542381,4.3,высокие,Средний счёт:2100 ₽,2100.0,,0,120.0
Домино'с Пицца,пиццерия,"Москва, Абрамцевская улица, 30, стр. 6",Северо-Восточный административный округ,"пн-пт 11:00–22:00; сб,вс 10:00–22:00",55.905994,37.576284,4.2,средние,,,,1,16.0
Додо Пицца,пиццерия,"Москва, Дубнинская улица, 50",Северный административный округ,"ежедневно, 09:00–23:00",55.893672,37.558562,4.3,,Средний счёт:349 ₽,349.0,,1,50.0
CofeFest,кофейня,"Москва, улица Пришвина, 8",Северо-Восточный административный округ,пн-пт 08:00–19:00,55.888942,37.595195,4.3,,,,,1,
Жигулевское,"бар,паб","Москва, Бибиревская улица, 7к2",Северо-Восточный административный округ,"пн-чт 14:00–00:00; пт,сб 14:00–02:00; вс 14:00–00:00",55.879733,37.593734,4.5,средние,Цена бокала пива:90–230 ₽,,,0,
Тбилисоба,ресторан,"Москва, улица Лескова, 14",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.897603,37.604949,4.4,,,,,1,
Чайхана Омад,кафе,"Москва, Дубнинская улица, 32",Северный административный округ,"ежедневно, круглосуточно",55.883574,37.558299,4.1,средние,Средний счёт:350–500 ₽,425.0,,0,16.0
Take and Wake,кофейня,"Москва, Дмитровское шоссе, 100, стр. 2",Северный административный округ,пн-пт 08:30–18:30,55.882019,37.546174,4.5,низкие,Цена чашки капучино:150–210 ₽,,180.0,1,120.0
ШаурмОвик,булочная,"Москва, улица Лескова, 8",Северо-Восточный административный округ,"ежедневно, 11:00–23:00",55.897609,37.596428,4.9,,,,,0,
Мята Signature Алтуфьево,кафе,"Москва, улица Лескова, 3Г",Северо-Восточный административный округ,"пн-чт 12:00–03:00; пт,сб 12:00–04:30; вс 12:00–03:00",55.898662,37.591297,5.0,,,,,0,80.0
Тетри,быстрое питание,"Москва, Лианозовский проезд, вл1",Северо-Восточный административный округ,вт-вс 09:00–19:00,55.896922,37.554929,4.0,средние,Средний счёт:150–250 ₽,200.0,,0,
Pho Street,ресторан,"Москва, Алтуфьевское шоссе, 48к2",Северо-Восточный административный округ,"пн,вт,ср,чт,пт,вс 09:00–20:00",55.876219,37.588866,4.5,средние,Средний счёт:300–500 ₽,400.0,,1,
Star hit cafe,кафе,"Москва, Дмитровское шоссе, 163Ак1",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.909762,37.541308,4.3,низкие,Средний счёт:от 120 ₽,120.0,,0,
Вектор,кофейня,"Москва, Алтуфьевское шоссе, 48, корп. 1",Северо-Восточный административный округ,пн-пт 07:30–18:30,55.876142,37.588024,4.4,,Цена чашки капучино:80–160 ₽,,120.0,0,120.0
Теремок,ресторан,"Москва, Алтуфьевское шоссе, 86, корп. 1",Северо-Восточный административный округ,"ежедневно, 09:00–22:00",55.897695,37.588342,4.1,,Средний счёт:269 ₽,269.0,,1,120.0
Кафе,"бар,паб","Москва, МКАД, 82-й километр, вл18",Северо-Восточный административный округ,,55.90893,37.558777,4.2,,,,,0,
Чайхана,кафе,"Москва, Алтуфьевское шоссе, 70, корп. 1",Северо-Восточный административный округ,"ежедневно, 09:00–06:00",55.888296,37.588674,4.2,средние,Средний счёт:300–500 ₽,400.0,,1,120.0
Ocean Лав,ресторан,"Москва, Дмитровское шоссе, 107, корп. 3",Северный административный округ,"ежедневно, 11:00–23:00",55.881073,37.541857,4.4,,,,,0,198.0
Алазани,ресторан,"Москва, Челобитьевское шоссе, 10А",Северо-Восточный административный округ,"ежедневно, 12:00–00:00",55.914074,37.556803,4.3,выше среднего,Средний счёт:600–2000 ₽,1300.0,,0,40.0
Pho ханой,кафе,"Москва, Алтуфьевское шоссе, 70, корп. 1",Северо-Восточный административный округ,"ежедневно, 10:00–21:30",55.888082,37.588361,4.1,,,,,0,120.0
Bowl Family,кафе,"Москва, улица Лескова, 14",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.897525,37.604924,4.1,,Средний счёт:700–800 ₽,750.0,,1,
Островок Суши,быстрое питание,"Москва, Алтуфьевское шоссе, 86, корп. 1",Северо-Восточный административный округ,"ежедневно, 10:00–21:30",55.897679,37.588292,4.1,средние,,,,1,120.0
Сеть поминальных залов,кафе,"Москва, улица Плещеева, 4, корп. 1, стр. 5",Северо-Восточный административный округ,"ежедневно, 09:00–22:00",55.882708,37.60518,4.5,,,,,1,95.0
Алло! Пицца,пиццерия,"Москва, Костромская улица, 14Б",Северо-Восточный административный округ,"ежедневно, 10:00–23:00",55.884819,37.598559,4.3,средние,Средний счёт:500–700 ₽,600.0,,1,240.0
Ретро нью,ресторан,"Москва, Дмитровское шоссе, 108, стр. 3",Северный административный округ,"ежедневно, 08:00–00:00",55.884481,37.544979,4.1,выше среднего,Средний счёт:300–2000 ₽,1150.0,,0,198.0
CofeFest,кофейня,"Москва, Дубнинская улица, 40, корп. 3",Северный административный округ,пн-пт 09:00–18:00,55.889336,37.561877,4.1,,,,,1,
Додо Пицца,пиццерия,"Москва, Алтуфьевское шоссе, 70, корп. 1",Северо-Восточный административный округ,"ежедневно, 09:00–23:00",55.887963,37.587999,4.3,,Средний счёт:355 ₽,355.0,,1,120.0
Два Бобра,быстрое питание,"Москва, улица Пришвина, 12, корп. 2",Северо-Восточный административный округ,пн-пт 09:00–16:00,55.887643,37.597431,4.1,,,,,0,44.0
Встреча,кафе,"Москва, Карельский бульвар, 4А",Северный административный округ,"ежедневно, круглосуточно",55.891936,37.536068,4.1,,,,,1,
Жарим мясо,ресторан,"Москва, улица Лескова, 14",Северо-Восточный административный округ,пн-чт 10:00–21:00; пт-вс 10:00–21:30,55.897454,37.604889,4.5,,,,,0,
Кафе,кафе,"Москва, Шенкурский проезд, 14",Северо-Восточный административный округ,,55.897794,37.591395,4.3,,,,,0,50.0
Шашлык Хаус,кафе,"Москва, Дмитровское шоссе, 107, корп. 4",Северный административный округ,"ежедневно, 10:00–22:00",55.879787,37.539702,4.2,,Средний счёт:от 200 ₽,200.0,,1,79.0
Лотос,ресторан,"Москва, Инженерная улица, 1А",Северо-Восточный административный округ,"ежедневно, 11:00–23:00",55.878157,37.582879,4.1,средние,Средний счёт:800–1200 ₽,1000.0,,0,95.0
Кулинария,кафе,"Москва, Череповецкая улица, 17",Северо-Восточный административный округ,,55.898741,37.585301,3.9,,,,,1,
Арарат,кафе,"Москва, Дмитровское шоссе, 165, корп. 1",Северо-Восточный административный округ,"ежедневно, 06:00–20:00",55.91431,37.538953,4.2,,,,,1,350.0
Калина,быстрое питание,"Москва, Дубнинская улица, 52, стр. 2",Северный административный округ,"ежедневно, 10:00–20:00",55.896289,37.555286,3.9,низкие,Средний счёт:150–300 ₽,225.0,,1,124.0
Pizza Sole,пиццерия,"Москва, бульвар Академика Ландау, 1",Северо-Восточный административный округ,"ежедневно, 11:00–22:00",55.920426,37.551067,4.3,средние,Средний счёт:500–1000 ₽,750.0,,0,10.0
MeatЛав,быстрое питание,"Москва, Дмитровское шоссе, 107Ак1",Северный административный округ,"ежедневно, 11:00–23:00",55.878449,37.539857,4.6,средние,Средний счёт:500–800 ₽,650.0,,0,
Crosseat,кофейня,"Москва, бульвар Академика Ландау, 1",Северо-Восточный административный округ,"ежедневно, 09:00–21:00",55.920257,37.550906,4.5,,,,,0,10.0
Пекарня-шаурма,быстрое питание,"Москва, Алтуфьевское шоссе, 84",Северо-Восточный административный округ,"ежедневно, круглосуточно",55.895949,37.5881,2.0,,,,,0,4.0
Крепери,"бар,паб","Москва, улица Лескова, 14",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.89749,37.604722,4.0,,,,,1,
Van House,быстрое питание,"Москва, Дмитровское шоссе, 163Ак1",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.909222,37.540704,4.4,,,,,0,
Чудо Печка,кафе,"Москва, бульвар Академика Ландау, 1",Северо-Восточный административный округ,"ежедневно, 10:30–23:00",55.920242,37.550702,4.1,средние,Средний счёт:300–700 ₽,500.0,,0,10.0
Ho Chu Pho,быстрое питание,"Москва, Дмитровское шоссе, 163Ак1",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.908807,37.540542,4.1,средние,Средний счёт:500–800 ₽,650.0,,1,
Get and fly,ресторан,"Москва, парк Ангарские пруды",Северный административный округ,"ежедневно, 09:00–23:00",55.88035,37.530713,4.1,,,,,0,
Хинкальная,быстрое питание,"Москва, Шенкурский проезд, 14",Северо-Восточный административный округ,,55.897751,37.591363,4.1,,,,,1,50.0
Шеф Бургер,кофейня,"Москва, Дмитровское шоссе, 116Д",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.901734,37.548499,4.1,средние,Средний счёт:300 ₽,300.0,,1,120.0
Парус,кафе,"Москва, улица Плещеева, 4, корп. 1, стр. 3",Северо-Восточный административный округ,"ежедневно, 10:00–22:00",55.88303,37.606245,4.1,,,,,1,
Кафе,кафе,"Москва, Дубнинская улица, 52, стр. 1",Северный административный округ,"ежедневно, 10:00–20:00",55.89602,37.556072,3.9,,,,,0,70.0
Кулинария,кафе,"Москва, Инженерная улица, 3",Северо-Восточный административный округ,"ежедневно, 07:00–00:00",55.878959,37.581226,4.8,,,,,1,
One Price Coffee,кофейня,"Москва, улица Пришвина, 22",Северо-Восточный административный округ,"ежедневно, 10:00–21:00",55.885364,37.60199,4.2,,,,,1,90.0
Art Coffee Club,кофейня,"Москва, Лобненская улица, 4А",Северный административный округ,"ежедневно, 10:00–21:00",55.889787,37.539301,4.3,,,,,0,40.0
Пеликан,кафе,"Москва, Дмитровское шоссе, 157с24",Северный административный округ,"ежедневно, 10:00–21:00",55.89867,37.537921,4.0,,Средний счёт:250–300 ₽,275.0,,0,
Скалка,булочная,"Москва, Дмитровское шоссе, 107к2",Северный административный округ,"ежедневно, 08:00–22:00",55.879778,37.542689,4.2,,,,,1,
КофеТун-СушиТун,кафе,"Москва, Дмитровское шоссе, 163Ак1",Северо-Восточный административный округ,"ежедневно, 10:00–23:00",55.90927,37.540175,4.0,средние,Средний счёт:1200 ₽,1200.0,,1,
Халяль,кафе,"Москва, Дмитровское шоссе, 107А, корп. 5",Северный административный округ,"ежедневно, 08:00–00:00",55.877423,37.538669,4.0,,,,,1,46.0
КоФФе Души,кофейня,"Москва, улица Софьи Ковалевской, 8",Северный административный округ,"ежедневно, 10:00–22:00, перерыв 16:00–16:20",55.882999,37.53297,4.3,средние,Цена чашки капучино:100 ₽,,100.0,0,10.0
Правда,"бар,паб","Москва, Дмитровское шоссе, 124А",Северо-Восточный административный округ,"ежедневно, 08:00–23:00",55.924367,37.549657,1.4,,,,,0,
